 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1010,WH40P,0.016,24.453,19.095,24.453,19.095,0.590,0.572,0.267,100,24.420,18.964,101.310,0.079,3.422,0.292,0.868
1011,WH40P,0.008,8.026,19.148,8.026,19.148,0.297,1.000,0.117,100,8.000,19.095,116.565,0.105,1.000,1.000,0.857
1012,WH40P,0.030,8.362,19.174,8.362,19.174,0.677,0.812,0.267,100,8.236,19.200,11.310,0.157,1.604,0.623,0.869
1013,WH40P,0.001,4.944,19.252,4.944,19.252,0.127,1.000,0.059,100,4.931,19.226,116.565,0.026,2.000,0.500,1.000
1014,WH40P,0.076,7.653,19.787,7.653,19.787,1.356,0.522,0.566,100,7.607,19.489,103.392,0.208,3.160,0.316,0.804
1015,WH40P,0.032,24.775,19.932,24.775,19.932,0.745,0.733,0.317,100,24.734,19.777,114.444,0.162,2.209,0.453,0.855
1016,WH40P,0.019,24.261,19.941,24.261,19.941,0.565,0.730,0.262,100,24.184,19.830,126.870,0.116,2.691,0.372,0.831
1017,WH40P,0.007,1.015,19.961,1.015,19.961,0.275,1.000,0.117,100,0.997,19.908,116.565,0.079,1.327,0.753,0.909
1018,WH40P,0.012,2.289,20.032,2.289,20.032,0.402,0.911,0.176,100,2.256,19.961,116.565,0.105,1.597,0.626,0.850
1019,WH40P,0.006,21.770,20.000,21.770,20.000,0.275,0.914,0.131,100,21.718,20.039,36.870,0.079,1.624,0.616,0.800
1020,WH40P,0.003,11.711,20.026,11.711,20.026,0.223,0.873,0.083,100,11.698,19.987,108.435,0.074,1.000,1.000,0.714
1021,WH40P,0.006,2.321,20.200,2.321,20.200,0.297,0.785,0.131,100,2.282,20.249,53.130,0.079,1.862,0.537,0.762
1022,WH40P,0.008,21.814,20.369,21.814,20.369,0.327,0.967,0.141,100,21.744,20.354,158.199,0.079,1.579,0.633,0.889
1023,WH40P,0.011,21.193,20.525,21.193,20.525,0.349,1.000,0.141,100,21.167,20.459,111.801,0.105,1.209,0.827,0.889
1024,WH40P,0.016,7.232,20.580,7.232,20.580,0.439,1.000,0.176,100,7.161,20.538,153.435,0.131,1.182,0.846,0.885
1025,WH40P,0.052,3.465,20.822,3.465,20.822,1.186,0.461,0.541,100,3.357,21.062,67.166,0.153,4.258,0.235,0.789
1026,WH40P,0.032,25.428,20.781,25.428,20.781,0.803,0.630,0.357,100,25.285,20.905,36.027,0.151,3.038,0.329,0.764
1027,WH40P,0.005,8.440,20.734,8.440,20.734,0.238,1.000,0.095,100,8.420,20.695,123.690,0.079,1.069,0.936,0.875
1028,WH40P,0.012,7.086,20.787,7.086,20.787,0.371,1.000,0.141,100,7.056,20.721,111.801,0.130,1.044,0.957,0.850
1029,WH40P,0.009,4.284,21.416,4.284,21.416,0.327,1.000,0.141,100,4.249,21.351,111.801,0.079,1.622,0.617,0.929
1030,WH40P,0.003,12.197,21.403,12.197,21.403,0.148,1.000,0.074,100,12.170,21.377,135.000,0.052,1.000,1.000,1.000
1031,WH40P,0.009,15.682,21.479,15.682,21.479,0.312,1.000,0.131,100,15.633,21.430,126.870,0.105,1.159,0.863,0.897
1032,WH40P,0.119,13.274,21.812,13.274,21.812,2.094,0.341,0.706,100,13.062,21.482,121.329,0.340,2.165,0.462,0.638
1033,WH40P,0.004,10.452,21.534,10.452,21.534,0.201,1.000,0.095,100,10.413,21.508,146.310,0.052,1.500,0.667,1.000
1034,WH40P,0.025,12.474,21.687,12.474,21.687,0.565,0.974,0.224,100,12.433,21.797,69.444,0.157,1.361,0.735,0.900
1035,WH40P,0.007,13.626,21.815,13.626,21.815,0.290,1.000,0.117,100,13.587,21.770,116.565,0.079,1.236,0.809,0.909
1036,WH40P,0.038,10.916,21.903,10.916,21.903,0.714,0.933,0.293,100,10.780,21.849,153.435,0.185,1.614,0.620,0.902
1037,WH40P,0.007,12.543,21.907,12.543,21.907,0.297,0.982,0.117,100,12.485,21.928,26.565,0.093,1.241,0.806,0.800
1038,WH40P,0.063,8.025,22.697,8.025,22.697,1.245,0.513,0.541,100,7.948,22.452,112.834,0.191,3.543,0.282,0.790
1039,WH40P,0.001,6.623,22.898,6.623,22.898,0.127,1.000,0.059,100,6.610,22.872,116.565,0.026,2.000,0.500,1.000
1040,WH40P,0.040,17.035,22.968,17.035,22.968,0.760,0.868,0.307,100,16.892,22.925,160.017,0.184,1.602,0.624,0.899
1041,WH40P,0.046,9.083,23.080,9.083,23.080,0.945,0.648,0.390,100,8.944,22.951,132.274,0.189,2.441,0.410,0.761
1042,WH40P,0.008,12.308,23.255,12.308,23.255,0.312,0.976,0.153,100,12.249,23.213,149.036,0.079,1.892,0.528,0.880
1043,WH40P,0.060,16.585,23.528,16.585,23.528,1.433,0.366,0.531,100,16.472,23.213,122.905,0.275,2.335,0.428,0.626
1044,WH40P,0.004,16.852,23.239,16.852,23.239,0.201,1.000,0.095,100,16.813,23.213,146.310,0.052,1.500,0.667,1.000
