X	Y	Dlc	r²	Standard-Error	y-intercept	Local-Fractal-Dimension	r²	Standard-Error	y-intercept
25.0	501.0	1.2116	0.9904	0.1164	8.4502	1.2116	0.9904	0.1164	8.4502	
25.0	543.0	1.2527	0.9963	0.074	8.8672	1.2527	0.9963	0.074	8.8672	
25.0	544.0	1.2534	0.9962	0.0756	8.8563	1.2534	0.9962	0.0756	8.8563	
25.0	554.0	1.2216	0.9924	0.1041	8.5512	1.2216	0.9924	0.1041	8.5512	
25.0	555.0	1.1929	0.9892	0.1213	8.4522	1.1929	0.9892	0.1213	8.4522	
25.0	556.0	1.1564	0.9812	0.1558	8.2978	1.1564	0.9812	0.1558	8.2978	
25.0	557.0	1.1503	0.982	0.1515	8.2486	1.1503	0.982	0.1515	8.2486	
25.0	700.0	0.787	0.9928	0.065	5.4078	0.8014	0.9881	0.0856	5.4922	
25.0	701.0	0.7824	0.992	0.0685	5.5632	0.8073	0.9872	0.0893	5.7093	
25.0	702.0	0.8245	0.9872	0.0913	5.8889	0.8669	0.9816	0.1156	6.1376	
25.0	703.0	0.8719	0.9881	0.0933	6.2057	0.9374	0.9851	0.1122	6.5922	
25.0	704.0	0.9144	0.9916	0.082	6.4749	1.006	0.9881	0.1076	7.017	
25.0	705.0	0.949	0.9953	0.0632	6.6876	1.0685	0.9882	0.1135	7.3974	
25.0	706.0	0.9748	0.9981	0.0415	6.843	1.1226	0.9814	0.1503	7.7246	
25.0	707.0	0.9917	0.9996	0.02	6.9435	1.1655	0.9767	0.1753	7.9874	
25.0	708.0	1	1	0	6.9921	1.2047	0.9736	0.1929	8.2305	
25.0	709.0	1.2404	0.9746	0.195	8.4586	1.2404	0.9746	0.195	8.4586	
25.0	710.0	1.2692	0.9768	0.1905	8.6495	1.2692	0.9768	0.1905	8.6495	
25.0	711.0	1.2887	0.9817	0.1712	8.7934	1.2887	0.9817	0.1712	8.7934	
